SUBSTATION_ID,SUBSTATION_NAME,DISPLAY NAME,CAPACITY,DC CAPACITY,STATE_NAME,ENERGY TYPE,SUBSTATION_TYPE,Band,Tag
SS01175,Manur,Manur,61.6,61.6,IN_TN,WIND,INTRA_STATE,,
SS01176,Veeranam,Veeranam,21.6,21.6,IN_TN,WIND,INTRA_STATE,,
SS01177,Annanagar,Annanagar,31.8,31.8,IN_TN,WIND,INTRA_STATE,,
SS01178,Chinnaputhur,Chinnaputhur,133.09,133.09,IN_TN,WIND,INTRA_STATE,,
SS01179,Chithamparapuram,Chithamparapuram,23.4,23.4,IN_TN,WIND,INTRA_STATE,,
SS01180,Dharapuram,Dharapuram,19.2,19.2,IN_TN,WIND,INTRA_STATE,,
SS01181,Edyarpalayam,Edyarpalayam,5.29,5.29,IN_TN,WIND,INTRA_STATE,,
SS01182,Gudimanglam,Gudimanglam,0.23,0.23,IN_TN,WIND,INTRA_STATE,,
SS01183,K.Mazhai,K.Mazhai,3.2,3.2,IN_TN,WIND,INTRA_STATE,,
SS01184,Karunkulam,Karunkulam,4.8,4.8,IN_TN,WIND,INTRA_STATE,,
SS01185,Maharajapuram,Maharajapuram,1.8,1.8,IN_TN,WIND,INTRA_STATE,,
SS01186,Maruthur,Maruthur,9.27,9.27,IN_TN,WIND,INTRA_STATE,,
SS01187,Melkaraipatti,Melkaraipatti,128,128,IN_TN,WIND,INTRA_STATE,,
SS01188,Panagudi,Panagudi,1.2,1.2,IN_TN,WIND,INTRA_STATE,,
SS01189,Pazhavoor,Pazhavoor,7.2,7.2,IN_TN,WIND,INTRA_STATE,,
SS01190,Pedampalli,Pedampalli,0.46,0.46,IN_TN,WIND,INTRA_STATE,,
SS01191,Perunkudi,Perunkudi,0.6,0.6,IN_TN,WIND,INTRA_STATE,,
SS01192,Ponnapuram,Ponnapuram,9.78,9.78,IN_TN,WIND,INTRA_STATE,,
SS01193,Poolavadi,Poolavadi,5.52,5.52,IN_TN,WIND,INTRA_STATE,,
SS01194,Radhapuram,Radhapuram,6.6,6.6,IN_TN,WIND,INTRA_STATE,,
SS01195,Tandyarkulam,Tandyarkulam,3.6,3.6,IN_TN,WIND,INTRA_STATE,,
SS01196,Thalaiyuthu,Thalaiyuthu,38.4,38.4,IN_TN,WIND,INTRA_STATE,,
SS01197,Therkuppatti,Therkuppatti,126.4,126.4,IN_TN,WIND,INTRA_STATE,,
SS01198,Thungavi,Thungavi,0.69,0.69,IN_TN,WIND,INTRA_STATE,,
SS01199,Vadakkankulam,Vadakkankulam,4.8,4.8,IN_TN,WIND,INTRA_STATE,,
SS01200,Jaloya,Jaloya,35,52.5,IN_GJ,SOLAR,INTRA_STATE,0.07,Daily
